"Name","lon","lat"
"Nur-Sultan","71.4","51.2"
"Almaty","76.9","43.2"
"Balhash","75.04","46.8"
"Taldykurgan","78.4","45"
"Atyrau","51.8","47.1"
"Aktobe","57.2","50.3"
"Uralsk","51.367","51.233"
"Kokshetau","69.4","53.3"
"Ustkamen","82.7","50"
"Karaganda","73.1","49.8"
"Zheskazgan","67.7","47.8"
"Kostanay","63.74","53.23"
"Turkestan","68.27","43.298"
"Pavlodar","76.9","52.3"
"Petropavlovsk","69.1","54.7"
"Aktau","51.1","43.7"
"Shimkent","69.7","42.3"
"Kyzylorda","65.5","44.8"
"Taraz","71.3","42.9"
"Dushanbe","68.78","38.537"
"Ashgabat","58.367","37.933"
"Baku","49.88","40.395"
"Novosibirsk","82.95","55.05"
"Tehran","51.25","35.42"
"Kazan","49.06","55.47"
